,ds,y
10693,2022-06-27,119.69
10694,2022-06-28,122.21
10695,2022-06-29,120.8
10696,2022-06-30,119.78
10697,2022-07-01,119.21
10698,2022-07-04,121.8
10699,2022-07-05,110.49
10700,2022-07-06,108.54
10701,2022-07-07,113.4
10702,2022-07-08,113.95
10703,2022-07-11,114.85
10704,2022-07-12,106.98
10705,2022-07-13,107.17
10706,2022-07-14,107.74
10707,2022-07-15,112.26
10708,2022-07-18,117.27
10709,2022-07-19,114.96
10710,2022-07-20,115.86
10711,2022-07-21,112.81
10712,2022-07-22,106.77
10713,2022-07-25,108.23
10714,2022-07-26,107.32
10715,2022-07-27,109.64
10716,2022-07-28,109.68
10717,2022-07-29,111.51
10718,2022-08-01,106.09
10719,2022-08-02,106.51
10720,2022-08-03,101.82
10721,2022-08-04,97.99
10722,2022-08-05,100.31
10723,2022-08-08,103.46
10724,2022-08-09,103.81
10725,2022-08-10,105.06
10726,2022-08-11,107.19
10727,2022-08-12,103.7
10728,2022-08-15,98.25
10729,2022-08-16,95.36
10730,2022-08-17,97.22
10731,2022-08-18,96.35
10732,2022-08-19,96.45
10733,2022-08-22,95.06
10734,2022-08-23,99.49
10735,2022-08-24,99.87
10736,2022-08-25,98.81
10737,2022-08-26,101.13
10738,2022-08-30,99.34
10739,2022-08-31,96.55
10740,2022-09-01,92.24
10741,2022-09-02,93.09
10742,2022-09-05,94.22
10743,2022-09-06,91.43
10744,2022-09-07,86.83
10745,2022-09-08,87.99
10746,2022-09-09,91.68
10747,2022-09-12,93.45
10748,2022-09-13,92.04
10749,2022-09-14,92.83
10750,2022-09-15,89.28
10751,2022-09-16,89.43
10752,2022-09-19,89.43
10753,2022-09-20,89.62
10754,2022-09-21,89.86
10755,2022-09-22,90.4
10756,2022-09-23,84.29
10757,2022-09-26,82.55
10758,2022-09-27,85.97
10759,2022-09-28,89.55
10760,2022-09-29,89.41
10761,2022-09-30,88.9
10762,2022-10-03,90.68
10763,2022-10-04,93.74
10764,2022-10-05,94.35
10765,2022-10-06,95.65
10766,2022-10-07,98.88
10767,2022-10-10,97.13
10768,2022-10-11,95.17
10769,2022-10-12,93.44
10770,2022-10-13,95.16
10771,2022-10-14,92.22
10772,2022-10-17,91.04
10773,2022-10-18,89.46
10774,2022-10-19,91.34
10775,2022-10-20,91.52
10776,2022-10-21,91.82
10777,2022-10-24,91.57
10778,2022-10-25,91.76
10779,2022-10-26,92.93
10780,2022-10-27,94.17
10781,2022-10-28,94.64
10782,2022-10-31,93.3
10783,2022-11-01,95.12
10784,2022-11-02,96.07
10785,2022-11-03,95.29
10786,2022-11-04,99.53
10787,2022-11-07,99.87
10788,2022-11-08,96.85
10789,2022-11-09,93.05
10790,2022-11-10,94.25
10791,2022-11-11,96.37
10792,2022-11-14,93.59
10793,2022-11-15,94.3
10794,2022-11-16,92.61
10795,2022-11-17,91.0
10796,2022-11-18,88.93
10797,2022-11-21,88.44
10798,2022-11-22,88.65
10799,2022-11-23,85.9
10800,2022-11-24,85.59
10801,2022-11-25,83.4
10802,2022-11-28,83.5
10803,2022-11-29,83.22
10804,2022-11-30,85.61
10805,2022-12-01,86.28
10806,2022-12-02,86.54
10807,2022-12-05,83.36
10808,2022-12-06,79.92
10809,2022-12-07,77.11
10810,2022-12-08,76.02
10811,2022-12-09,76.37
10812,2022-12-12,78.0
10813,2022-12-13,80.14
10814,2022-12-14,83.33
10815,2022-12-15,82.34
10816,2022-12-16,80.2
10817,2022-12-19,81.66
10818,2022-12-20,79.45
10819,2022-12-21,80.25
10820,2022-12-22,79.58
10821,2022-12-23,82.45
10822,2022-12-27,82.45
10823,2022-12-28,81.7
10824,2022-12-29,80.96
10825,2022-12-30,82.82
10826,2023-01-02,82.82
10827,2023-01-03,80.36
10828,2023-01-04,75.31
10829,2023-01-05,76.73
10830,2023-01-06,76.41
10831,2023-01-09,77.5
10832,2023-01-10,78.4
10833,2023-01-11,81.11
10834,2023-01-12,82.59
10835,2023-01-13,83.43
10836,2023-01-16,82.65
10837,2023-01-17,84.38
10838,2023-01-18,83.78
10839,2023-01-19,85.08
10840,2023-01-20,86.96
10841,2023-01-23,87.96
10842,2023-01-24,85.25
10843,2023-01-25,85.08
10844,2023-01-26,86.29
10845,2023-01-27,85.36
10846,2023-01-30,84.9
10847,2023-01-31,83.42
10848,2023-02-01,81.61
10849,2023-02-02,80.57
10850,2023-02-03,78.85
10851,2023-02-06,80.48
10852,2023-02-07,82.92
10853,2023-02-08,84.17
10854,2023-02-09,83.46
10855,2023-02-10,85.46
10856,2023-02-13,85.98
10857,2023-02-14,84.96
10858,2023-02-15,84.11
10859,2023-02-16,83.84
10860,2023-02-17,81.97
10861,2023-02-20,82.79
10862,2023-02-21,82.14
10863,2023-02-22,79.55
10864,2023-02-23,82.08
10865,2023-02-24,82.31
10866,2023-02-27,81.24
10867,2023-02-28,83.21
10868,2023-03-01,83.68
10869,2023-03-02,84.15
10870,2023-03-03,85.74
10871,2023-03-06,85.86
10872,2023-03-07,83.03
10873,2023-03-08,82.1
10874,2023-03-09,81.0
10875,2023-03-10,82.3
10876,2023-03-13,79.67
10877,2023-03-14,76.77
10878,2023-03-15,74.3
10879,2023-03-16,73.12
10880,2023-03-17,71.03
10881,2023-03-20,72.42
10882,2023-03-21,74.78
10883,2023-03-22,76.08
10884,2023-03-23,74.31
10885,2023-03-24,73.63
10886,2023-03-27,76.8
10887,2023-03-28,78.07
10888,2023-03-29,77.51
10889,2023-03-30,78.45
10890,2023-03-31,79.19
